"Problem_Type","Instance_Type","Instance_ID","Correlation","Objectives","Variables","Constraints","Sparsity","Algorithm","Type_of_Operation","MIP_Emphasis","Type_of_Boost","Cplex_Heur","Parallelism","Total_Threads","Thread_ID","Master_Time","Slave_Time","IP_Solved","Num_Non_Dom_Pts","Num_Non_Dom_Pts_Found"
"BOAP","Hadi","13dat.txt",-0.004983300744137399,2,90000,600,0.9966666666666667,"EBBM","lex_min",true,"NB",true,false,1,1,2432.766352891922,0.0,1450.0,823.0,823.0
"BOAP","Hadi","13dat.txt",-0.004983300744137399,2,90000,600,0.9966666666666667,"UDECM","augmented_operation",false,"NB",true,false,1,1,107646.78600716591,0.0,825.0,823.0,823.0
"BOAP","Hadi","13dat.txt",-0.004983300744137399,2,90000,600,0.9966666666666667,"UDECM","dynamic",false,"NB",true,false,1,1,106700.28514099121,0.0,825.0,823.0,823.0
"BOAP","Hadi","13dat.txt",-0.004983300744137399,2,90000,600,0.9966666666666667,"UDECM","lex_min",false,"NB",true,false,1,1,2676.9143300056458,0.0,1646.0,823.0,823.0
"BOAP","Hadi","14dat.txt",-0.0015850954249696273,2,90000,600,0.9966666666666667,"BBM","lex_min",false,"NB",true,false,1,1,3030.8166620731354,0.0,1847.0,841.0,841.0
"BOAP","Hadi","14dat.txt",-0.0015850954249696273,2,90000,600,0.9966666666666667,"EBBM","augmented_operation",false,"NB",true,false,1,1,7858.8868770599365,0.0,846.0,841.0,841.0
"BOAP","Hadi","14dat.txt",-0.0015850954249696273,2,90000,600,0.9966666666666667,"EBBM","dynamic",false,"NB",true,false,1,1,3637.3237521648407,0.0,1051.0,841.0,841.0
"BOAP","Hadi","14dat.txt",-0.0015850954249696273,2,90000,600,0.9966666666666667,"EBBM","lex_min",false,"NB",true,false,1,1,2500.8583059310913,0.0,1481.0,841.0,841.0
"BOAP","Hadi","14dat.txt",-0.0015850954249696273,2,90000,600,0.9966666666666667,"EBBM","lex_min",true,"NB",true,false,1,1,2578.362824201584,0.0,1481.0,841.0,841.0
"BOAP","Hadi","14dat.txt",-0.0015850954249696273,2,90000,600,0.9966666666666667,"UDECM","augmented_operation",false,"NB",true,false,1,1,253319.0419588089,0.0,843.0,841.0,841.0
"BOAP","Hadi","14dat.txt",-0.0015850954249696273,2,90000,600,0.9966666666666667,"UDECM","dynamic",false,"NB",true,false,1,1,253145.79748296738,0.0,843.0,841.0,841.0
"BOAP","Hadi","14dat.txt",-0.0015850954249696273,2,90000,600,0.9966666666666667,"UDECM","lex_min",false,"NB",true,false,1,1,2972.036498069763,0.0,1682.0,841.0,841.0
"BOAP","Hadi","15dat.txt",0.0004709959868675088,2,90000,600,0.9966666666666667,"BBM","lex_min",false,"NB",true,false,1,1,2652.307286977768,0.0,1750.0,814.0,814.0
"BOAP","Hadi","15dat.txt",0.0004709959868675088,2,90000,600,0.9966666666666667,"EBBM","augmented_operation",false,"NB",true,false,1,1,4664.389636993408,0.0,817.0,814.0,814.0
"BOAP","Hadi","15dat.txt",0.0004709959868675088,2,90000,600,0.9966666666666667,"EBBM","dynamic",false,"NB",true,false,1,1,3458.3900167942047,0.0,1011.0,814.0,814.0
"BOAP","Hadi","15dat.txt",0.0004709959868675088,2,90000,600,0.9966666666666667,"EBBM","lex_min",false,"NB",true,false,1,1,2342.7303171157837,0.0,1444.0,814.0,814.0
"BOAP","Hadi","15dat.txt",0.0004709959868675088,2,90000,600,0.9966666666666667,"EBBM","lex_min",true,"NB",true,false,1,1,2425.444491147995,0.0,1444.0,814.0,814.0
"BOAP","Hadi","15dat.txt",0.0004709959868675088,2,90000,600,0.9966666666666667,"UDECM","augmented_operation",false,"NB",true,false,1,1,551623.7830798626,0.0,816.0,814.0,814.0
"BOAP","Hadi","15dat.txt",0.0004709959868675088,2,90000,600,0.9966666666666667,"UDECM","dynamic",false,"NB",true,false,1,1,550312.2647411823,0.0,816.0,814.0,814.0
"BOAP","Hadi","15dat.txt",0.0004709959868675088,2,90000,600,0.9966666666666667,"UDECM","lex_min",false,"NB",true,false,1,1,2719.236006975174,0.0,1628.0,814.0,814.0
"BOAP","Hadi","16dat.txt",-0.002051068942218429,2,90000,600,0.9966666666666667,"BBM","lex_min",false,"NB",true,false,1,1,7704.672952890396,0.0,3808.0,1746.0,1746.0
"BOAP","Hadi","16dat.txt",-0.002051068942218429,2,90000,600,0.9966666666666667,"EBBM","augmented_operation",false,"NB",true,false,1,1,5873.368634939194,0.0,1767.0,1746.0,1746.0
